"node","term","estimate","std_error"
"mRS_pre","Age.Age",0.0586168970443865,0.0049046188660535
"NIHSSa","Age",-0.0571503259543138,0.00442302880728888
"NIHSSa","mRS_pre1",-0.397140672881278,0.129496606399642
"NIHSSa","mRS_pre2",-0.585408485307364,0.156979142143405
"NIHSSa","mRS_pre3",-0.3589288358601,0.180836668353052
"NIHSSa","mRS_pre4",-1.4716723886446,0.284226176701748
"NIHSSa","mRS_pre5",-1.9874828389575,0.602785985053914
"T","(Intercept)",4.52015155813608,0.499887223162696
"T","Age",-0.0364967213252079,0.00702291150159534
"T","mRS_pre1",0.0949420050366517,0.199703511778715
"T","mRS_pre2",-0.233513934055668,0.222042274205855
"T","mRS_pre3",0.0667017645759582,0.277822794323061
"T","mRS_pre4",-0.565471552540752,0.367758119347433
"T","mRS_pre5",-0.320360230152712,0.856607356800039
"T","NIHSSa",-0.0133127440178692,0.0112029670497889
"mRS_3m","Age",0.0525524746811871,0.00495385523396926
"mRS_3m","mRS_pre1",0.436026316314715,0.134006795258108
"mRS_3m","mRS_pre2",0.611440530591971,0.163153137652446
"mRS_3m","mRS_pre3",0.818549784092629,0.192107934576505
"mRS_3m","mRS_pre4",2.49918371216464,0.413745046297405
"mRS_3m","mRS_pre5",1.81184715016321,0.876732778656949
"mRS_3m","NIHSSa",0.162988956157133,0.00902889857765989
"mRS_3m","T",-0.942416795232296,0.14073867182977
