workload,schedule,batch,time_to_practical_s,time_to_target_s
stroke-ls,lbfgs,full,4.642497853841633,
vaca-ci,plateau+freeze,512,7.120220991317183,7.518526651896536
vaca-ci,baseline-2phase,512,7.500871737953275,10.935823208186775
vaca-ci,constant,512,7.507713830564171,10.883707029977813
vaca-ci,cosine,512,7.54714666120708,12.452752391342074
stroke-ls,adam150+lbfgs,full,9.144613022916019,
vaca-ci,plateau+freeze,full,11.88071712385863,
vaca-ci,onecycle,512,12.122045658994466,16.583499952219427
stroke-ls,plateau+freeze,512,31.927393589168787,
stroke-ls,constant,512,33.63179282983765,78.77575839683414
stroke-ls,baseline-2phase,512,34.04146517440677,78.90357776219025
stroke-ls,plateau+freeze,full,45.07125859474763,
stroke-ls,baseline-2phase,full,46.240645034238696,67.70779091864824
stroke-ls,constant,full,46.37833031779155,75.087483944837
stroke-ls,onecycle-3k,512,62.529153268784285,
stroke-ls,cosine,512,,
stroke-ls,cosine,full,,
stroke-ls,onecycle,512,,
stroke-ls,onecycle,full,,
stroke-ls,onecycle-3k,full,,
vaca-ci,baseline-2phase,full,,
vaca-ci,constant,full,,
vaca-ci,cosine,full,,
vaca-ci,onecycle,full,,
